,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
45712,1231.7,533.0,2598.6,able,49,182.9,67.1,L,1331454
45733,1126.2,419.3,2386.3,able,34,185.4,92.1,H,1331592
45763,1229.3,469.7,2628.4,able,16,175.3,60.3,L,1331810
45766,1014.0,385.6,2098.5,able,39,177.8,73.9,L,1331818
45771,1543.1,569.3,3357.4,able,53,170.2,73.9,H,1331844
45792,1121.9,419.7,2573.3,able,22,170.2,72.1,L,1332004
45813,1109.4,425.8,2271.4,able,38,177.8,79.8,H,1332177
45816,1293.4,478.0,2812.7,able,39,172.7,72.1,L,1332248
45848,1186.0,426.8,2432.0,able,15,180.3,62.1,L,1332476
45851,1195.8,459.0,2593.9,able,56,177.8,90.7,H,1332500
45859,1057.3,393.2,2172.4,able,29,185.4,79.8,H,1332588
45860,1518.8,575.5,3092.5,PR3 (PD),58,175.3,86.2,H,1332596
45864,1138.8,404.7,2279.5,able,54,182.9,91.2,H,1332620
45889,1227.4,472.9,2538.4,able,61,175.3,82.6,H,1332784
45894,1203.3,449.7,2430.7,able,51,182.9,108.9,H,1332814
45903,1325.0,474.6,2886.6,able,26,180.3,90.7,H,1332875
45940,1416.3,499.0,2964.3,able,40,172.7,117.9,H,1333126
45962,1270.8,479.8,2614.5,able,40,195.6,62.6,H,1333273
45994,1399.4,553.5,2801.9,able,60,170.2,68.0,H,1333493
46015,1338.9,508.8,2694.1,able,66,182.9,73.9,L,1333658
46023,1161.6,443.9,2397.2,able,62,185.4,73.9,L,1333719
46029,1199.0,459.2,2541.7,able,33,182.9,71.2,H,1333766
46031,1323.5,498.7,2640.7,able,25,162.6,54.9,L,1333780
46032,1152.7,437.1,2493.0,able,44,185.4,108.9,H,1333809
46039,1279.6,464.8,2550.7,able,44,180.3,73.9,L,1333870
46058,1130.1,443.6,2313.6,able,48,188.0,88.0,H,1334034
46063,1109.2,419.8,2473.9,able,20,175.3,73.0,H,1334060
46068,1097.4,423.9,2252.3,able,39,182.9,72.1,L,1334082
46073,1326.0,480.5,3155.9,able,39,180.3,99.8,H,1334134
46089,1461.6,574.8,3162.4,able,51,157.5,50.8,L,1334274
46091,1200.7,405.3,2273.8,able,32,200.7,120.2,H,1334282
46099,1747.2,597.3,3402.4,able,60,170.2,101.6,H,1334331
46136,1105.3,426.7,2297.6,able,40,177.8,79.8,H,1334471
46152,1077.9,401.1,2247.8,able,44,182.9,88.0,H,1334594
46188,1482.7,521.6,3211.8,able,66,193.0,90.7,H,1334861
46220,1168.7,438.0,2574.1,able,54,170.2,64.9,L,1335137
46226,1156.1,426.9,2428.5,able,50,172.7,86.2,H,1335205
46259,1047.8,399.4,2161.0,able,37,193.0,97.5,H,1335440
46267,1305.0,488.1,2906.5,able,50,170.2,66.2,L,1335477
46276,1097.3,419.7,2270.0,able,54,185.4,83.0,H,1335529
46279,1269.2,499.4,3071.6,able,43,193.0,96.2,H,1335548
46308,1228.9,479.6,2558.9,able,44,180.3,77.1,H,1335764
46316,1072.9,416.2,2233.6,able,37,180.3,68.9,H,1335805
46317,1421.0,550.4,3138.8,able,50,175.3,63.0,H,1335813
